platform,store_name,review_text,review_date,classification_result,translated_review
네이버,강서홈플러스점,맛있어요~~,2024-06-12,1,It's delicious~~
네이버,강서홈플러스점,"홈플러스에서 장보다가 간단히 먹고가기 좋습니다. 홈플러스 푸드코드내에 있어 먹을장소가 넓고 청결하게 유지되어 있으며, 음식이 빠르게 나오고 맛있네요.",2024-06-16,1,"It's a great place to grab a quick bite while shopping at Homeplus. Since it's located within the Homeplus food court, there's plenty of space to sit, and everything is kept clean. The food comes out quickly and tastes delicious."
네이버,강서홈플러스점,음.. 쩜 아쉬운맛이었슴다;;,2024-07-25,-1,Hmm.. the taste was a bit disappointing;;
네이버,강서홈플러스점,굿,2024-07-24,1,Good
네이버,강서홈플러스점,좋아요,2024-07-31,1,Good.
네이버,강서홈플러스점,좋아요,2024-07-02,1,It's good.
네이버,강서홈플러스점,맛있어요,2024-08-01,1,It's delicious.
네이버,강서홈플러스점,메뉴가 다양하고 좋아요,2024-06-30,1,The menu is diverse and very good.
네이버,강서홈플러스점,굿,2024-06-15,1,Good
네이버,강서홈플러스점,맛있어요,2024-06-08,1,It's delicious.
kakao_map,강서홈플러스점,짬뽕시켰는데 짬뽕밥으르ㅡ 줘서 바로가서 확인요청했는데 !!!!!!끝까지!!!!! 짬뽕밥이 맞다고 주장하시더라구요?? 영수증에 짬뽕이라고 적힌거 보여드렸는데도 아닌데?? 짬뽕밥이였는데?? .....아니 제가 잘못 시킨것도 아닌데 짬뽕밥이라고 끝까지 우기셔서 결국 다른직원분이 오셔서 짬뽕인거 확인하고 다시 받았지만ㅎㅎㅎㅎ 사과도 대충하고 넘기시려고 하셔서 따져봤자 나만 열받을것 같아 그냥왔습니다 혹시라도 가서 드신다면 주문번호 나온거 그자리에서 확인 꼭 하세요 전 두번다시 안갈렵니다^^,2024-08-04,-1,"I ordered Jjamppong but they gave me Jjamppong rice instead. I immediately asked for confirmation, but they insisted to the end that it was Jjamppong rice. I even showed them the receipt which clearly said Jjamppong, but they were adamant, claiming it was Jjamppong rice. I didn't order wrong, but they kept insisting it was Jjamppong rice. Eventually, another staff member came, confirmed that it was indeed Jjamppong, and gave me the right order. However, their apology was quite indifferent. I felt arguing would just make me more upset, so I left. If you ever decide to eat here, make sure to check your order number right there. I’m never going back there again."
kakao_map,강서홈플러스점,저어엉말 맛없었음. 자장면은 고무줄같이 질겨서 양념이 잘 베이지도 않았음,2024-07-27,-1,It was really terrible. The Jajangmyeon was as tough as rubber bands and the sauce didn't seep in well at all.
kakao_map,강서홈플러스점,영업시간 틀림...,2024-07-03,-1,The operating hours are incorrect...
kakao_map,강서홈플러스점,,2024-06-18,-1,It seems that the review text is missing. Could you please provide the content of the review that you would like translated into English?
